Kecamatan,year,CH_DJF,R10_DJF,R20_DJF,SPI_DJF,CH_JJA,R10_JJA,R20_JJA,SPI_JJA
Cikidang,2014,1714.17,57.53,36.35,1.55,665.96,21.73,13.37,0.73
Cikidang,2015,1209.1,52.3,24.62,0.22,170.68,5.82,3.0,-1.39
Cikidang,2016,1064.33,47.57,15.34,-0.83,1027.08,36.46,23.2,1.95
Cikidang,2017,848.99,37.53,7.63,0.73,546.41,20.09,10.7,0.96
Cikidang,2018,930.58,42.39,13.5,0.18,181.02,6.65,2.28,-0.78
Cikidang,2019,953.0,38.71,11.05,-0.24,112.88,5.85,1.6,-1.42
Cikidang,2020,1211.68,48.21,25.89,-0.37,450.99,17.8,7.29,0.52
Cikidang,2021,1147.29,46.35,19.3,0.21,571.28,21.02,9.65,0.56
Cikidang,2022,882.37,35.06,9.47,0.3,755.38,31.08,13.55,0.94
Cikidang,2023,994.75,43.2,12.36,0.19,373.87,14.85,5.46,-0.11
Cikidang,2024,868.41,40.28,9.64,-0.59,468.07,19.29,7.57,0.27
Cikidang,2025,1180.95,45.02,17.76,1.19,960.06,35.0,23.49,1.33
Cikidang,2026,581.84,19.87,12.8,0.75,,,,
Cikole,1996,686.56,32.73,9.51,,350.08,14.09,6.65,-0.69
Cikole,1997,1281.08,41.87,27.06,0.08,129.82,5.8,1.4,-1.11
Cikole,1998,882.59,36.33,12.94,-0.96,678.47,26.65,12.6,1.21
Cikole,1999,1053.84,46.25,16.35,0.02,160.1,5.65,2.65,-1.24
Cikole,2000,1124.5,47.47,20.15,-0.01,333.48,10.64,7.24,0.25
Cikole,2001,1173.34,52.55,23.82,0.82,362.27,12.9,7.18,0.27
Cikole,2002,925.11,37.13,15.15,0.21,310.14,11.05,5.93,-0.37
Cikole,2003,880.57,37.02,9.02,-1.62,183.79,5.8,2.49,-1.85
Cikole,2004,945.28,41.98,12.01,-0.48,289.21,11.45,4.9,-0.15
Cikole,2005,1227.67,53.99,23.0,-0.04,571.84,17.2,10.18,0.3
Cikole,2006,1210.97,56.47,12.4,0.03,179.47,6.98,3.24,-0.75
Cikole,2007,997.13,42.01,17.55,-1.23,310.4,10.92,5.1,0.07
Cikole,2008,1614.6,59.01,30.27,1.92,209.97,6.73,3.79,-0.93
Cikole,2009,1143.12,49.16,20.62,0.35,266.99,9.94,5.17,0.08
Cikole,2010,1113.21,51.05,13.07,-0.11,886.79,27.45,18.87,1.23
Cikole,2011,819.58,35.36,5.97,-0.99,231.19,8.85,4.09,-0.31
Cikole,2012,925.87,38.33,7.54,-0.25,221.02,7.49,2.62,-0.21
Cikole,2013,1242.67,54.63,23.27,0.96,697.74,23.76,13.64,1.46
Cikole,2014,1602.63,59.84,35.58,1.37,624.31,19.79,12.16,0.88
Cikole,2015,1234.5,49.09,20.88,0.16,152.01,5.85,2.27,-1.43
Cikole,2016,1018.67,46.07,14.24,-1.03,959.62,34.25,20.27,1.98
Cikole,2017,830.02,33.64,9.52,0.48,391.74,14.43,7.07,0.53
Cikole,2018,912.76,40.67,10.48,0.25,158.59,5.9,2.06,-0.82
Cikole,2019,915.24,41.6,7.37,-0.39,98.66,2.96,0.44,-1.42
Cikole,2020,1187.71,46.63,21.88,-0.56,374.73,10.36,6.23,0.48
Cikole,2021,1069.29,41.35,16.99,-0.12,539.22,18.4,11.58,0.49
Cikole,2022,837.71,39.48,6.45,0.38,685.18,25.08,11.82,0.95
Cikole,2023,988.79,38.68,9.9,0.52,273.23,10.01,4.1,-0.35
Cikole,2024,864.64,41.53,6.44,-0.83,428.86,15.71,9.14,0.06
Cikole,2025,1082.77,43.83,14.23,0.81,856.53,32.31,20.39,1.34
Cikole,2026,423.88,18.65,8.11,0.71,,,,
Cimanggu,1996,567.91,28.31,5.37,,347.04,11.87,5.57,-0.43
Cimanggu,1997,1197.97,44.42,22.63,0.18,160.47,6.32,3.17,-1.08
Cimanggu,1998,700.97,30.12,6.5,-2.2,668.21,24.92,11.93,0.9
Cimanggu,1999,1070.91,48.74,15.13,0.44,185.11,5.5,4.04,-0.96
Cimanggu,2000,1050.4,44.47,15.56,-0.1,240.54,8.09,3.32,-0.16
Cimanggu,2001,957.07,42.1,13.75,0.01,361.42,14.43,8.74,0.24
Cimanggu,2002,743.31,28.43,13.09,-0.18,300.43,7.54,4.74,-0.5
Cimanggu,2003,839.8,37.87,12.05,-0.97,145.41,5.1,1.82,-1.75
Cimanggu,2004,921.16,38.43,11.16,-0.31,319.98,13.33,4.18,-0.43
Cimanggu,2005,1203.03,50.49,24.36,0.32,629.58,21.16,12.47,0.5
Cimanggu,2006,1012.37,47.91,11.96,-0.32,178.69,6.42,3.35,-0.72
Cimanggu,2007,1002.85,45.6,13.37,-1.05,305.93,10.74,7.13,0.04
Cimanggu,2008,1638.39,56.5,34.51,1.79,165.43,6.79,3.94,-1.28
Cimanggu,2009,1051.13,43.96,22.05,0.36,268.48,9.47,5.8,0.07
Cimanggu,2010,963.27,47.02,11.42,-0.13,937.62,38.08,21.49,1.57
Cimanggu,2011,834.43,36.86,6.93,-0.42,207.9,6.99,3.52,-0.5
Cimanggu,2012,926.49,36.19,8.68,-0.02,192.27,6.65,2.39,-0.45
Cimanggu,2013,1199.82,47.67,20.95,0.95,724.83,25.83,13.68,1.37
Cimanggu,2014,1473.42,50.18,29.17,1.19,715.43,17.49,12.2,0.72
Cimanggu,2015,1124.23,47.84,21.71,0.48,161.64,5.76,1.29,-1.16
Cimanggu,2016,984.77,43.86,9.87,-0.78,1193.05,38.04,25.17,2.28
Cimanggu,2017,739.11,31.78,4.97,0.7,492.12,14.17,9.98,0.85
Cimanggu,2018,799.63,35.29,8.2,0.11,181.49,6.3,3.0,-0.67
Cimanggu,2019,769.49,34.6,7.7,-0.79,100.99,2.73,1.09,-1.58
Cimanggu,2020,1134.1,45.9,24.48,-0.41,465.37,15.92,9.01,0.8
Cimanggu,2021,1084.94,41.68,18.17,0.6,514.33,20.03,10.15,0.42
Cimanggu,2022,809.5,32.76,6.61,0.31,703.36,28.11,14.11,0.86
Cimanggu,2023,925.94,36.25,12.66,0.18,294.04,9.59,5.61,-0.4
Cimanggu,2024,739.54,36.05,4.26,-1.23,503.53,19.53,10.05,0.4
Cimanggu,2025,1067.74,39.15,15.95,1.16,780.49,29.31,16.8,1.03
Cimanggu,2026,446.26,17.1,9.3,0.39,,,,
Ciracap,1996,527.16,22.91,5.73,,304.83,9.89,4.25,-0.46
Ciracap,1997,1182.03,44.01,21.57,0.3,147.45,5.85,3.41,-1.15
Ciracap,1998,643.33,23.5,7.05,-2.4,694.9,29.01,13.08,0.97
Ciracap,1999,1118.55,47.39,19.57,0.74,206.13,5.55,3.38,-0.74
Ciracap,2000,1048.45,44.93,16.09,0.15,221.47,9.08,4.79,-0.29
Ciracap,2001,898.23,38.13,12.28,-0.01,342.18,13.95,6.82,0.18
Ciracap,2002,710.67,28.24,13.47,-0.2,283.05,7.29,4.21,-0.47
Ciracap,2003,798.04,35.3,11.39,-0.97,135.58,5.78,1.71,-1.74
Ciracap,2004,864.0,37.85,11.96,-0.48,307.43,13.87,3.72,-0.45
Ciracap,2005,1076.45,41.7,20.75,0.41,623.53,24.71,9.97,0.72
Ciracap,2006,923.42,42.44,10.59,-0.27,177.21,8.27,1.93,-0.76
Ciracap,2007,944.01,46.67,13.43,-1.0,273.93,11.99,5.6,-0.09
Ciracap,2008,1571.25,50.81,31.12,1.74,155.21,6.69,2.23,-1.35
Ciracap,2009,1014.97,42.0,21.39,0.47,264.69,8.42,7.04,0.12
Ciracap,2010,794.52,35.67,9.4,-0.43,902.93,35.0,18.78,1.61
Ciracap,2011,813.31,37.19,8.67,-0.18,210.77,8.69,2.57,-0.5
Ciracap,2012,907.03,34.28,9.03,-0.0,171.01,6.07,1.0,-0.5
Ciracap,2013,1109.07,42.83,19.89,0.9,696.19,26.21,13.41,1.33
Ciracap,2014,1294.97,44.31,25.64,0.92,658.12,20.83,11.35,0.58
Ciracap,2015,962.69,40.26,19.6,0.14,144.06,4.47,0.03,-1.12
Ciracap,2016,926.35,37.44,13.27,-0.71,1205.03,38.51,22.65,2.38
Ciracap,2017,781.83,30.76,7.41,0.82,475.77,14.23,8.75,0.83
Ciracap,2018,770.55,32.9,9.97,0.02,187.94,5.96,3.31,-0.62
Ciracap,2019,685.47,34.56,5.6,-0.95,95.41,1.35,0.52,-1.55
Ciracap,2020,984.72,40.81,17.79,-0.69,434.97,15.56,9.63,0.73
Ciracap,2021,1062.71,40.88,16.64,0.92,488.93,21.97,8.58,0.43
Ciracap,2022,738.27,33.35,5.29,0.13,676.61,21.04,15.6,0.89
Ciracap,2023,928.27,34.49,12.73,0.32,273.67,9.01,5.62,-0.5
Ciracap,2024,703.89,28.77,5.93,-1.22,520.21,18.37,8.92,0.55
Ciracap,2025,1070.89,33.18,19.67,1.33,691.12,28.19,14.7,0.86
Ciracap,2026,433.65,21.41,7.73,0.56,,,,
Cireunghas,1996,693.18,32.78,9.3,,358.4,12.96,6.23,-0.79
Cireunghas,1997,1215.69,43.72,25.23,0.05,136.16,4.83,1.75,-1.09
Cireunghas,1998,843.34,32.96,9.9,-1.21,699.55,26.89,14.29,1.15
Cireunghas,1999,1040.6,44.38,14.38,0.09,182.94,6.0,4.06,-1.13
Cireunghas,2000,1102.01,45.76,17.79,0.02,355.81,10.54,7.38,0.24
Cireunghas,2001,1127.68,52.03,22.25,0.7,391.48,15.27,7.77,0.35
Cireunghas,2002,904.24,37.94,14.31,0.19,315.41,10.76,6.22,-0.49
Cireunghas,2003,850.06,36.97,8.57,-1.6,186.03,5.47,2.61,-1.78
Cireunghas,2004,923.29,44.16,10.99,-0.5,300.97,11.92,5.8,-0.11
Cireunghas,2005,1172.84,51.65,21.48,-0.14,599.18,16.49,8.48,0.32
Cireunghas,2006,1179.7,57.96,13.92,0.08,188.72,8.64,3.78,-0.73
Cireunghas,2007,955.28,41.47,17.14,-1.35,307.16,11.44,4.84,0.04
Cireunghas,2008,1541.15,55.3,29.81,1.83,204.37,6.78,3.99,-1.09
Cireunghas,2009,1090.7,45.11,17.76,0.28,269.21,8.8,5.16,0.06
Cireunghas,2010,1059.79,48.98,10.25,-0.21,938.28,30.06,18.43,1.34
Cireunghas,2011,796.55,35.71,4.61,-1.01,234.24,8.64,4.11,-0.33
Cireunghas,2012,903.07,37.02,6.86,-0.28,227.06,7.73,2.63,-0.25
Cireunghas,2013,1242.57,55.71,23.61,1.01,754.45,24.67,15.11,1.52
Cireunghas,2014,1570.66,59.85,36.02,1.34,673.41,17.86,10.41,0.89
Cireunghas,2015,1223.29,50.56,21.58,0.24,153.22,5.71,1.58,-1.46
Cireunghas,2016,1010.27,45.8,12.48,-0.95,1028.05,36.91,20.91,1.92
Cireunghas,2017,833.61,35.21,10.45,0.53,424.66,12.35,8.85,0.57
Cireunghas,2018,926.62,41.83,12.27,0.39,173.24,7.05,2.42,-0.8
Cireunghas,2019,899.85,39.79,7.62,-0.47,105.23,2.45,0.17,-1.4
Cireunghas,2020,1186.45,48.94,22.61,-0.34,397.17,10.06,5.87,0.49
Cireunghas,2021,1065.63,39.96,17.1,-0.02,552.98,20.23,11.75,0.48
Cireunghas,2022,836.22,37.76,6.19,0.44,701.24,24.59,13.24,0.94
Cireunghas,2023,983.62,39.74,12.44,0.59,304.12,9.41,5.68,-0.3
Cireunghas,2024,857.52,41.17,6.69,-0.84,448.32,15.18,10.22,0.01
Cireunghas,2025,1083.08,45.18,13.72,0.87,888.12,31.86,20.51,1.38
Cireunghas,2026,435.28,18.77,10.46,0.8,,,,
Cisaat,1996,698.0,33.69,8.58,,364.45,13.3,6.47,-0.62
Cisaat,1997,1322.61,42.69,26.4,0.1,144.98,5.4,2.1,-1.01
Cisaat,1998,879.99,36.8,14.2,-1.05,687.28,25.5,13.77,1.17
Cisaat,1999,1065.65,46.46,16.77,-0.08,169.53,6.36,2.73,-1.21
Cisaat,2000,1175.24,48.47,21.32,0.04,329.74,10.94,6.79,0.22
Cisaat,2001,1188.34,50.71,22.09,0.73,352.65,12.77,6.25,0.22
Cisaat,2002,942.79,36.94,16.43,0.13,312.42,11.48,5.38,-0.36
Cisaat,2003,908.78,38.62,11.58,-1.62,189.49,5.71,3.5,-1.9
Cisaat,2004,971.17,42.51,13.44,-0.47,286.87,11.32,3.53,-0.2
Cisaat,2005,1272.57,55.84,24.37,-0.02,588.37,16.66,10.01,0.3
Cisaat,2006,1233.31,59.75,16.3,-0.05,179.88,7.05,1.81,-0.78
Cisaat,2007,1022.76,42.25,17.83,-1.26,324.01,10.54,6.13,0.06
Cisaat,2008,1667.32,59.53,30.29,1.92,215.77,6.42,4.24,-0.91
Cisaat,2009,1164.05,51.5,20.44,0.27,279.26,10.44,4.47,0.09
Cisaat,2010,1142.62,51.42,16.49,-0.11,894.22,29.24,16.44,1.22
Cisaat,2011,829.73,36.58,6.26,-1.08,230.56,7.98,4.27,-0.34
Cisaat,2012,941.6,37.97,7.9,-0.3,216.78,7.84,1.96,-0.24
Cisaat,2013,1267.6,53.36,22.57,0.9,700.55,23.67,13.25,1.4
Cisaat,2014,1660.68,59.99,34.65,1.42,620.33,19.11,12.11,0.82
Cisaat,2015,1284.52,50.24,23.8,0.17,156.62,5.47,2.3,-1.45
Cisaat,2016,1065.09,47.62,16.71,-0.96,966.34,33.03,20.17,2.01
Cisaat,2017,862.41,36.15,9.56,0.59,408.47,15.92,8.2,0.62
Cisaat,2018,941.11,40.18,11.27,0.26,160.29,5.87,2.26,-0.84
Cisaat,2019,965.69,42.02,11.32,-0.24,102.73,4.33,0.22,-1.39
Cisaat,2020,1235.37,49.94,24.2,-0.5,386.63,10.88,5.63,0.46
Cisaat,2021,1112.76,43.47,17.54,-0.07,556.05,21.14,10.66,0.54
Cisaat,2022,867.67,40.53,8.39,0.36,721.73,25.84,12.96,0.96
Cisaat,2023,1022.76,41.56,11.08,0.51,282.22,10.9,3.46,-0.3
Cisaat,2024,901.3,45.16,8.45,-0.69,436.76,15.7,9.1,0.1
Cisaat,2025,1118.46,45.22,16.31,0.85,889.89,33.72,19.62,1.34
Cisaat,2026,448.8,20.49,9.47,0.71,,,,
Cisolok,1996,624.44,30.79,8.57,,407.32,18.62,6.83,-0.59
Cisolok,1997,1310.55,41.95,23.61,0.28,120.28,4.44,1.7,-1.49
Cisolok,1998,760.75,29.13,8.57,-2.03,743.24,33.23,15.24,0.94
Cisolok,1999,1150.98,45.56,18.32,0.06,222.43,9.05,3.71,-1.14
Cisolok,2000,1192.64,47.49,19.5,-0.04,338.91,13.77,3.07,0.15
Cisolok,2001,1100.97,42.64,20.64,0.32,380.77,15.77,5.57,0.32
Cisolok,2002,801.74,34.51,15.04,-0.37,374.7,14.51,5.32,-0.27
Cisolok,2003,843.61,40.59,9.72,-1.4,180.35,7.12,1.68,-1.83
Cisolok,2004,947.73,41.83,13.92,-0.52,320.43,12.3,5.08,-0.3
Cisolok,2005,1298.75,54.64,26.39,0.31,676.8,24.81,11.86,0.65
Cisolok,2006,1086.68,52.25,14.78,-0.38,204.79,11.2,3.15,-0.9
Cisolok,2007,1045.71,44.43,20.57,-0.78,310.14,12.21,3.64,-0.07
Cisolok,2008,1701.11,53.98,34.52,1.96,200.03,8.0,4.0,-1.18
Cisolok,2009,1165.69,51.31,21.63,0.41,288.11,11.74,5.52,-0.02
Cisolok,2010,1108.33,51.63,15.86,-0.01,922.67,36.96,17.37,1.35
Cisolok,2011,827.84,42.3,4.55,-0.87,257.72,10.97,4.6,-0.4
Cisolok,2012,959.47,41.62,8.94,-0.14,203.24,7.4,3.49,-0.33
Cisolok,2013,1275.28,50.82,21.1,1.07,747.47,24.16,15.91,1.12
Cisolok,2014,1585.96,58.24,34.99,1.4,662.31,22.3,14.15,0.65
Cisolok,2015,1116.07,49.91,22.3,0.1,169.01,7.35,1.98,-1.37
Cisolok,2016,1039.04,48.73,15.0,-0.79,1054.25,37.91,19.96,1.96
Cisolok,2017,851.07,36.36,9.64,0.78,588.75,21.29,11.09,1.09
Cisolok,2018,890.95,39.79,9.06,-0.06,205.71,7.05,3.44,-0.61
Cisolok,2019,904.71,38.25,8.28,-0.38,119.52,4.71,2.15,-1.37
Cisolok,2020,1100.36,46.53,21.97,-0.67,469.1,18.84,9.26,0.5
Cisolok,2021,1125.16,45.92,19.03,0.3,607.78,23.25,10.12,0.63
Cisolok,2022,849.47,33.59,8.5,0.24,769.94,31.93,12.37,0.99
Cisolok,2023,966.57,43.36,11.49,0.16,409.42,16.1,7.53,-0.12
Cisolok,2024,853.79,40.37,10.27,-0.58,471.7,17.33,8.27,0.32
Cisolok,2025,1188.57,42.69,19.18,1.39,936.34,33.7,21.16,1.27
Cisolok,2026,538.83,19.94,10.77,0.62,,,,
Citamiang,1996,667.1,31.0,8.9,,355.7,14.7,7.0,-0.68
Citamiang,1997,1238.1,42.0,25.5,0.12,133.8,6.1,1.1,-1.1
Citamiang,1998,868.1,36.2,11.9,-0.98,686.9,27.0,12.6,1.21
Citamiang,1999,1025.3,45.0,14.4,0.0,163.0,6.0,3.0,-1.22
Citamiang,2000,1099.2,47.6,17.6,0.01,329.5,9.6,7.2,0.21
Citamiang,2001,1138.7,53.8,22.7,0.84,365.9,12.6,8.0,0.29
Citamiang,2002,888.7,37.0,13.9,0.22,307.5,10.1,6.1,-0.38
Citamiang,2003,851.9,34.9,7.9,-1.6,186.3,5.8,2.1,-1.81
Citamiang,2004,912.5,40.9,11.4,-0.49,291.2,12.7,4.9,-0.16
Citamiang,2005,1187.8,52.0,21.7,-0.02,570.2,17.5,10.4,0.3
Citamiang,2006,1166.3,55.3,10.5,0.03,180.9,7.2,4.1,-0.75
Citamiang,2007,964.7,40.8,16.6,-1.23,310.1,11.4,5.1,0.06
Citamiang,2008,1547.4,56.8,29.1,1.88,205.0,6.9,3.7,-0.98
Citamiang,2009,1093.3,45.7,17.9,0.32,267.9,9.9,5.6,0.08
Citamiang,2010,1074.9,48.8,11.3,-0.1,892.5,27.1,19.0,1.21
Citamiang,2011,786.8,33.2,4.8,-0.99,225.4,9.2,4.0,-0.34
Citamiang,2012,894.0,37.9,7.8,-0.25,219.2,7.4,2.4,-0.21
Citamiang,2013,1212.1,54.8,22.1,1.02,708.9,23.8,14.2,1.48
Citamiang,2014,1535.3,58.5,35.1,1.33,640.4,20.7,11.6,0.91
Citamiang,2015,1185.2,49.7,20.1,0.19,149.8,6.5,2.1,-1.43
Citamiang,2016,983.6,44.6,13.2,-1.03,980.9,35.2,20.7,2.0
Citamiang,2017,802.3,31.3,9.0,0.46,400.0,13.0,7.5,0.56
Citamiang,2018,881.5,39.5,9.4,0.25,160.8,6.2,2.1,-0.82
Citamiang,2019,876.1,39.7,6.2,-0.45,97.1,2.7,0.7,-1.45
Citamiang,2020,1146.8,43.3,20.8,-0.55,384.5,10.1,5.8,0.51
Citamiang,2021,1022.8,39.4,16.3,-0.13,540.6,18.1,11.8,0.48
Citamiang,2022,811.5,39.0,5.5,0.4,685.4,24.0,12.3,0.93
Citamiang,2023,951.3,37.9,8.0,0.5,279.2,10.4,3.8,-0.33
Citamiang,2024,834.5,39.5,5.4,-0.83,435.3,15.1,9.1,0.08
Citamiang,2025,1049.6,41.8,13.8,0.82,861.2,31.7,21.0,1.31
Citamiang,2026,408.7,17.4,7.5,0.74,,,,
Curugkembar,1996,604.42,28.83,6.13,,292.51,9.49,6.15,-0.72
Curugkembar,1997,1146.93,46.99,22.52,-0.01,140.18,4.21,1.62,-1.2
Curugkembar,1998,753.11,29.55,5.45,-2.02,726.78,27.13,13.9,1.08
Curugkembar,1999,1130.58,50.61,16.68,0.6,208.83,5.84,5.28,-0.77
Curugkembar,2000,1103.28,45.21,18.35,0.2,262.73,9.73,4.58,-0.14
Curugkembar,2001,973.72,43.46,14.59,0.09,335.12,14.82,6.02,0.31
Curugkembar,2002,806.75,33.4,14.45,-0.1,279.51,8.83,5.87,-0.66
Curugkembar,2003,873.76,41.95,13.6,-1.14,173.76,4.45,2.59,-1.66
Curugkembar,2004,927.88,41.84,10.69,-0.32,279.5,10.4,4.61,-0.36
Curugkembar,2005,1195.07,49.94,21.5,0.09,545.53,16.86,10.55,0.25
Curugkembar,2006,1061.57,52.25,13.35,-0.27,166.61,5.94,3.08,-0.75
Curugkembar,2007,981.32,46.99,15.91,-1.16,281.09,10.94,4.73,0.01
Curugkembar,2008,1587.36,58.31,29.65,1.77,177.84,6.37,4.33,-1.31
Curugkembar,2009,1039.79,48.64,18.09,0.29,267.42,7.65,5.77,0.16
Curugkembar,2010,1019.49,45.31,14.29,-0.17,887.12,29.91,17.25,1.45
Curugkembar,2011,807.33,38.38,7.48,-0.71,204.23,6.18,4.08,-0.47
Curugkembar,2012,921.02,37.52,8.04,-0.08,204.48,8.0,3.14,-0.34
Curugkembar,2013,1216.44,53.37,20.09,1.01,760.82,26.44,15.42,1.54
Curugkembar,2014,1470.13,48.21,30.88,1.02,709.98,17.74,9.33,0.89
Curugkembar,2015,1166.58,51.07,26.7,0.49,159.07,5.8,1.66,-1.2
Curugkembar,2016,1019.21,44.23,14.81,-0.69,1081.81,36.33,22.47,2.03
Curugkembar,2017,741.02,30.42,4.0,0.53,496.8,17.61,9.12,0.75
Curugkembar,2018,847.09,39.51,9.2,0.31,181.5,7.37,2.97,-0.75
Curugkembar,2019,822.6,37.27,6.79,-0.71,109.37,3.94,1.37,-1.49
Curugkembar,2020,1176.61,50.36,22.57,-0.33,412.78,10.6,5.07,0.79
Curugkembar,2021,1085.65,42.86,19.2,0.35,540.03,18.56,10.04,0.53
Curugkembar,2022,826.47,35.06,4.69,0.5,742.64,31.67,14.34,1.03
Curugkembar,2023,946.82,34.4,8.96,0.26,281.99,8.07,4.32,-0.31
Curugkembar,2024,799.47,37.7,5.97,-1.05,456.56,13.39,9.07,0.2
Curugkembar,2025,1053.44,43.92,13.59,1.03,775.49,30.03,17.04,1.05
Curugkembar,2026,455.2,17.8,11.09,0.65,,,,
Gegerbitung,1996,653.08,31.88,7.4,,398.08,13.75,7.14,-0.75
Gegerbitung,1997,1203.47,42.69,24.56,0.06,154.07,5.69,1.99,-1.1
Gegerbitung,1998,843.4,33.52,10.1,-1.22,771.77,29.2,16.78,1.13
Gegerbitung,1999,1038.77,45.79,13.38,0.14,203.56,6.06,4.15,-1.12
Gegerbitung,2000,1092.49,45.21,17.1,0.03,391.83,11.62,8.01,0.22
Gegerbitung,2001,1102.6,50.11,20.58,0.67,431.63,15.07,8.09,0.4
Gegerbitung,2002,880.2,37.6,14.1,0.17,348.61,10.23,7.16,-0.48
Gegerbitung,2003,865.87,37.5,10.29,-1.53,200.62,5.95,3.17,-1.76
Gegerbitung,2004,931.93,42.62,11.15,-0.42,335.38,12.49,6.16,-0.14
Gegerbitung,2005,1202.51,51.4,22.41,0.02,659.1,15.15,9.19,0.34
Gegerbitung,2006,1172.38,58.98,12.64,0.11,204.53,8.33,4.52,-0.76
Gegerbitung,2007,970.08,42.64,16.89,-1.25,342.26,10.85,6.42,0.05
Gegerbitung,2008,1560.15,56.24,31.53,1.91,223.15,6.04,4.05,-1.11
Gegerbitung,2009,1078.81,44.58,18.44,0.3,296.1,8.78,6.05,0.07
Gegerbitung,2010,1059.56,49.61,10.66,-0.15,1042.18,32.07,22.82,1.37
Gegerbitung,2011,796.52,35.98,5.24,-0.93,253.94,8.72,3.93,-0.36
Gegerbitung,2012,908.32,37.8,6.93,-0.23,248.51,8.5,3.46,-0.26
Gegerbitung,2013,1227.67,56.32,21.44,1.03,835.83,25.04,16.21,1.52
Gegerbitung,2014,1520.87,58.22,35.24,1.22,739.76,18.74,11.23,0.89
Gegerbitung,2015,1202.21,50.98,22.12,0.27,170.01,5.96,2.35,-1.46
Gegerbitung,2016,992.58,41.57,14.01,-0.99,1131.18,37.77,21.27,1.9
Gegerbitung,2017,801.51,33.57,8.28,0.49,484.6,12.22,8.79,0.61
Gegerbitung,2018,883.0,38.75,9.57,0.27,196.2,7.31,3.2,-0.8
Gegerbitung,2019,870.21,39.32,6.46,-0.59,116.7,3.56,1.04,-1.45
Gegerbitung,2020,1164.17,48.47,21.81,-0.41,449.76,12.33,6.41,0.51
Gegerbitung,2021,1031.93,39.24,14.89,-0.12,624.11,20.52,13.41,0.5
Gegerbitung,2022,821.69,38.31,6.09,0.42,812.15,28.56,15.46,0.97
Gegerbitung,2023,951.14,37.49,10.29,0.49,342.28,11.2,6.36,-0.3
Gegerbitung,2024,826.2,40.31,6.2,-0.9,502.75,16.34,10.7,0.04
Gegerbitung,2025,1060.38,42.96,12.18,0.84,978.44,34.26,22.42,1.29
Gegerbitung,2026,449.95,20.56,9.05,0.85,,,,
Gunung Puyuh,1996,713.53,34.46,9.15,,363.86,13.19,6.34,-0.63
Gunung Puyuh,1997,1353.86,42.72,27.37,0.09,141.7,5.34,1.99,-1.03
Gunung Puyuh,1998,899.28,37.62,14.73,-1.01,688.29,25.78,13.59,1.19
Gunung Puyuh,1999,1087.9,47.11,18.45,-0.05,167.33,6.16,2.51,-1.23
Gunung Puyuh,2000,1191.66,48.91,22.85,0.03,334.82,11.23,6.92,0.24
Gunung Puyuh,2001,1214.76,50.75,23.58,0.75,355.56,12.91,6.33,0.22
Gunung Puyuh,2002,967.82,37.67,16.86,0.15,314.8,11.98,5.47,-0.36
Gunung Puyuh,2003,927.59,39.75,12.14,-1.62,189.5,5.72,3.52,-1.9
Gunung Puyuh,2004,992.59,43.49,14.29,-0.46,288.51,10.81,3.72,-0.18
Gunung Puyuh,2005,1296.76,56.71,25.09,-0.03,593.43,16.43,9.78,0.31
Gunung Puyuh,2006,1263.32,60.17,17.03,-0.02,180.73,7.0,1.81,-0.77
Gunung Puyuh,2007,1043.3,43.0,18.91,-1.26,325.24,10.51,6.09,0.07
Gunung Puyuh,2008,1705.54,60.91,31.57,1.95,218.74,6.37,4.23,-0.89
Gunung Puyuh,2009,1195.75,53.09,22.08,0.31,280.48,10.52,4.35,0.1
Gunung Puyuh,2010,1168.18,52.83,17.32,-0.11,896.43,28.96,16.83,1.23
Gunung Puyuh,2011,850.84,37.38,6.89,-1.07,234.81,8.16,4.39,-0.33
Gunung Puyuh,2012,963.02,38.81,7.86,-0.28,220.61,7.88,2.2,-0.23
Gunung Puyuh,2013,1288.74,54.03,23.48,0.88,699.51,23.81,13.19,1.4
Gunung Puyuh,2014,1694.85,60.93,35.47,1.43,618.53,18.84,12.37,0.82
Gunung Puyuh,2015,1309.66,49.8,23.66,0.15,158.23,5.43,2.46,-1.45
Gunung Puyuh,2016,1081.3,48.5,17.23,-0.99,961.9,33.05,20.11,1.99
Gunung Puyuh,2017,877.68,37.35,9.97,0.57,403.75,16.05,7.81,0.59
Gunung Puyuh,2018,958.81,40.93,11.79,0.25,161.2,5.75,2.15,-0.83
Gunung Puyuh,2019,982.74,43.07,11.61,-0.26,103.37,4.21,0.16,-1.39
Gunung Puyuh,2020,1255.26,51.06,24.76,-0.53,382.2,10.87,5.98,0.45
Gunung Puyuh,2021,1134.09,44.14,18.12,-0.09,557.24,20.88,10.96,0.53
Gunung Puyuh,2022,881.87,41.51,8.61,0.35,722.4,26.08,12.79,0.97
Gunung Puyuh,2023,1042.86,41.8,11.88,0.51,280.79,10.63,3.7,-0.31
Gunung Puyuh,2024,916.26,45.9,8.95,-0.72,436.53,16.02,9.23,0.08
Gunung Puyuh,2025,1135.31,46.23,16.48,0.83,890.04,33.66,19.87,1.35
Gunung Puyuh,2026,453.13,20.68,9.57,0.69,,,,
Gunungguruh,1996,618.45,30.33,6.44,,341.33,13.97,6.93,-0.61
Gunungguruh,1997,1149.78,41.72,23.26,0.08,144.03,5.58,2.54,-1.04
Gunungguruh,1998,792.35,31.89,10.93,-1.19,663.26,24.59,13.65,1.12
