Kecamatan,year,month,CH,R10,R20,SPI3
Bantargadung,1996.0,1.0,370.25,19.17,4.63,
Bantargadung,1996.0,2.0,250.79,12.58,1.84,
Bantargadung,1996.0,3.0,256.51,9.81,4.31,0.02
Bantargadung,1996.0,4.0,355.78,14.53,8.98,-0.38
Bantargadung,1996.0,5.0,145.39,6.68,2.35,-0.83
Bantargadung,1996.0,6.0,89.85,3.05,1.0,-0.78
Bantargadung,1996.0,7.0,48.35,1.03,1.0,-1.13
Bantargadung,1996.0,8.0,194.4,9.6,3.77,-0.03
Bantargadung,1996.0,9.0,197.84,5.66,4.22,0.21
Bantargadung,1996.0,10.0,670.0,23.1,15.78,1.12
Bantargadung,1996.0,11.0,354.2,13.39,6.35,0.57
Bantargadung,1996.0,12.0,402.46,12.59,10.31,0.89
Bantargadung,1997.0,1.0,216.8,10.12,1.02,-1.13
Bantargadung,1997.0,2.0,558.32,18.76,14.51,1.01
Bantargadung,1997.0,3.0,182.89,9.03,1.93,0.61
Bantargadung,1997.0,4.0,342.2,15.73,5.0,1.47
Bantargadung,1997.0,5.0,198.77,9.13,3.68,-1.09
Bantargadung,1997.0,6.0,26.0,1.06,0.22,-0.94
Bantargadung,1997.0,7.0,60.71,2.38,1.08,-1.12
Bantargadung,1997.0,8.0,47.55,1.0,1.0,-1.3
Bantargadung,1997.0,9.0,30.63,0.02,0.0,-1.2
Bantargadung,1997.0,10.0,57.66,2.79,0.01,-1.79
Bantargadung,1997.0,11.0,438.75,17.19,10.38,-1.42
Bantargadung,1997.0,12.0,267.45,12.69,2.28,-2.16
Bantargadung,1998.0,1.0,161.06,6.42,1.83,-1.76
Bantargadung,1998.0,2.0,312.01,10.06,5.0,-1.29
Bantargadung,1998.0,3.0,342.29,15.13,4.6,-0.46
Bantargadung,1998.0,4.0,323.34,13.76,3.81,0.61
Bantargadung,1998.0,5.0,346.31,16.46,7.85,0.93
Bantargadung,1998.0,6.0,207.96,8.76,3.56,0.84
Bantargadung,1998.0,7.0,217.15,8.78,3.93,0.99
Bantargadung,1998.0,8.0,182.31,7.4,2.9,1.04
Bantargadung,1998.0,9.0,133.67,4.7,1.97,0.5
Bantargadung,1998.0,10.0,317.83,15.39,2.32,0.21
Bantargadung,1998.0,11.0,460.28,22.13,9.98,-0.19
Bantargadung,1998.0,12.0,394.67,16.69,5.23,-0.14
Bantargadung,1999.0,1.0,392.61,16.22,5.65,0.32
Bantargadung,1999.0,2.0,196.3,10.07,0.26,0.07
Bantargadung,1999.0,3.0,331.27,18.63,3.05,0.34
Bantargadung,1999.0,4.0,296.21,13.06,4.8,-0.75
Bantargadung,1999.0,5.0,171.08,7.67,0.64,-0.52
Bantargadung,1999.0,6.0,60.26,1.16,1.0,-1.21
Bantargadung,1999.0,7.0,69.15,2.52,1.56,-1.03
Bantargadung,1999.0,8.0,24.41,0.0,0.0,-1.13
Bantargadung,1999.0,9.0,70.42,3.72,0.6,-1.02
Bantargadung,1999.0,10.0,539.81,17.61,10.26,0.21
Bantargadung,1999.0,11.0,309.41,15.55,3.37,-0.16
Bantargadung,1999.0,12.0,360.52,14.51,7.09,0.02
Bantargadung,2000.0,1.0,385.02,18.66,5.1,-0.67
Bantargadung,2000.0,2.0,343.01,12.36,5.46,0.59
Bantargadung,2000.0,3.0,224.3,9.02,0.59,0.58
Bantargadung,2000.0,4.0,387.52,20.37,4.76,0.42
Bantargadung,2000.0,5.0,337.86,14.77,5.0,0.53
Bantargadung,2000.0,6.0,90.92,2.51,1.23,0.53
Bantargadung,2000.0,7.0,84.92,4.05,0.46,0.04
Bantargadung,2000.0,8.0,117.07,6.91,1.43,-0.23
Bantargadung,2000.0,9.0,206.57,10.33,4.22,0.1
Bantargadung,2000.0,10.0,341.1,13.82,4.76,0.28
Bantargadung,2000.0,11.0,661.8,24.03,14.89,0.54
Bantargadung,2000.0,12.0,228.61,12.27,1.37,0.11
Bantargadung,2001.0,1.0,483.06,22.08,8.96,0.92
Bantargadung,2001.0,2.0,295.76,10.04,4.2,0.19
Bantargadung,2001.0,3.0,370.89,17.06,4.32,1.91
Bantargadung,2001.0,4.0,359.07,15.02,5.98,1.01
Bantargadung,2001.0,5.0,290.2,11.24,2.94,0.98
Bantargadung,2001.0,6.0,150.69,6.5,1.48,0.44
Bantargadung,2001.0,7.0,146.54,4.73,4.43,0.34
Bantargadung,2001.0,8.0,46.84,1.72,0.66,0.02
Bantargadung,2001.0,9.0,317.18,15.28,4.96,0.43
Bantargadung,2001.0,10.0,569.44,20.68,12.23,0.87
Bantargadung,2001.0,11.0,615.64,22.61,13.51,1.15
Bantargadung,2001.0,12.0,186.97,6.56,2.62,0.67
Bantargadung,2002.0,1.0,360.35,13.84,6.71,-0.1
Bantargadung,2002.0,2.0,206.2,8.55,2.66,-1.21
Bantargadung,2002.0,3.0,321.32,14.27,3.66,0.1
Bantargadung,2002.0,4.0,271.43,12.26,5.01,-0.98
Bantargadung,2002.0,5.0,238.38,8.4,6.47,-0.28
Bantargadung,2002.0,6.0,95.06,3.44,0.79,-0.69
Bantargadung,2002.0,7.0,179.7,5.04,4.72,0.04
Bantargadung,2002.0,8.0,54.71,3.3,0.24,-0.05
Bantargadung,2002.0,9.0,56.03,2.18,1.1,-0.35
Bantargadung,2002.0,10.0,73.53,2.16,0.0,-1.46
Bantargadung,2002.0,11.0,413.9,18.34,4.9,-1.36
Bantargadung,2002.0,12.0,352.24,17.25,4.23,-1.74
Bantargadung,2003.0,1.0,114.96,4.73,0.01,-1.68
Bantargadung,2003.0,2.0,322.13,15.22,3.04,-0.99
Bantargadung,2003.0,3.0,206.82,6.42,0.0,-1.95
Bantargadung,2003.0,4.0,193.83,7.92,0.35,-1.74
Bantargadung,2003.0,5.0,123.14,5.67,0.91,-2.85
Bantargadung,2003.0,6.0,33.43,1.7,0.0,-2.64
Bantargadung,2003.0,7.0,26.87,0.9,0.0,-1.87
Bantargadung,2003.0,8.0,103.99,3.96,3.4,-1.05
Bantargadung,2003.0,9.0,197.72,7.16,4.07,-0.2
Bantargadung,2003.0,10.0,431.01,17.84,10.17,0.45
Bantargadung,2003.0,11.0,452.42,19.03,9.67,0.25
Bantargadung,2003.0,12.0,328.28,15.36,5.48,0.03
Bantargadung,2004.0,1.0,238.27,10.97,0.67,-0.87
Bantargadung,2004.0,2.0,283.59,13.13,2.34,-0.64
Bantargadung,2004.0,3.0,298.75,15.26,3.08,-0.42
Bantargadung,2004.0,4.0,358.25,13.0,6.54,0.3
Bantargadung,2004.0,5.0,222.89,9.33,4.82,0.06
Bantargadung,2004.0,6.0,67.82,4.04,0.54,-0.42
Bantargadung,2004.0,7.0,160.92,6.29,3.87,-0.23
Bantargadung,2004.0,8.0,53.5,1.17,0.0,-0.29
Bantargadung,2004.0,9.0,253.88,8.6,4.94,0.3
Bantargadung,2004.0,10.0,152.53,6.03,1.01,-0.29
Bantargadung,2004.0,11.0,409.42,19.99,4.35,-0.46
Bantargadung,2004.0,12.0,487.41,19.25,10.38,-0.69
Bantargadung,2005.0,1.0,315.6,14.84,5.39,0.15
Bantargadung,2005.0,2.0,382.71,17.65,6.61,1.04
Bantargadung,2005.0,3.0,265.21,10.98,4.02,0.66
Bantargadung,2005.0,4.0,200.31,6.41,0.47,-0.52
Bantargadung,2005.0,5.0,218.35,7.89,2.96,-1.41
Bantargadung,2005.0,6.0,298.77,11.68,7.74,-0.01
Bantargadung,2005.0,7.0,118.57,4.49,1.95,0.52
Bantargadung,2005.0,8.0,142.35,3.54,1.71,0.88
Bantargadung,2005.0,9.0,196.78,5.48,4.61,0.27
Bantargadung,2005.0,10.0,286.91,15.1,2.93,0.18
Bantargadung,2005.0,11.0,328.58,13.75,5.32,-0.47
Bantargadung,2005.0,12.0,399.74,20.34,4.58,-0.85
Bantargadung,2006.0,1.0,385.65,18.93,4.03,-0.36
Bantargadung,2006.0,2.0,259.72,12.87,2.64,0.38
Bantargadung,2006.0,3.0,301.11,12.75,2.93,0.53
Bantargadung,2006.0,4.0,306.77,15.27,1.18,-0.34
Bantargadung,2006.0,5.0,204.95,8.0,2.26,-0.42
Bantargadung,2006.0,6.0,92.14,4.75,1.04,-0.7
Bantargadung,2006.0,7.0,54.93,1.3,1.17,-0.73
Bantargadung,2006.0,8.0,29.98,1.0,1.0,-0.95
Bantargadung,2006.0,9.0,35.39,1.07,0.31,-1.34
Bantargadung,2006.0,10.0,153.52,5.29,4.82,-1.26
Bantargadung,2006.0,11.0,225.02,9.39,2.5,-1.91
Bantargadung,2006.0,12.0,531.99,24.06,8.45,-1.37
Bantargadung,2007.0,1.0,177.41,6.26,1.96,-1.36
Bantargadung,2007.0,2.0,240.75,12.13,2.88,-0.1
Bantargadung,2007.0,3.0,312.88,15.88,2.32,-1.16
Bantargadung,2007.0,4.0,409.75,17.61,8.77,0.5
Bantargadung,2007.0,5.0,264.12,10.27,4.06,0.77
Bantargadung,2007.0,6.0,141.88,5.79,2.33,0.53
Bantargadung,2007.0,7.0,56.89,3.1,0.01,-0.18
Bantargadung,2007.0,8.0,86.25,4.0,1.0,-0.27
Bantargadung,2007.0,9.0,91.75,3.09,1.94,-0.62
Bantargadung,2007.0,10.0,221.56,7.68,3.74,-0.49
Bantargadung,2007.0,11.0,451.14,15.21,8.38,-0.61
Bantargadung,2007.0,12.0,929.58,26.6,19.21,1.52
Bantargadung,2008.0,1.0,220.28,9.26,2.8,1.91
Bantargadung,2008.0,2.0,420.55,16.76,9.31,2.63
Bantargadung,2008.0,3.0,249.58,10.21,1.48,0.12
Bantargadung,2008.0,4.0,411.01,16.56,11.71,1.45
Bantargadung,2008.0,5.0,142.98,6.31,2.93,-0.48
Bantargadung,2008.0,6.0,40.85,1.23,0.82,-0.76
Bantargadung,2008.0,7.0,19.25,1.0,0.01,-1.71
Bantargadung,2008.0,8.0,107.74,4.7,2.38,-1.02
Bantargadung,2008.0,9.0,104.04,4.24,1.36,-0.64
Bantargadung,2008.0,10.0,297.64,10.68,4.22,-0.14
Bantargadung,2008.0,11.0,537.35,22.58,12.59,-0.11
Bantargadung,2008.0,12.0,411.86,16.53,9.0,0.17
Bantargadung,2009.0,1.0,315.17,12.94,6.99,0.4
Bantargadung,2009.0,2.0,299.3,13.09,2.26,0.29
Bantargadung,2009.0,3.0,262.79,12.14,3.13,0.02
Bantargadung,2009.0,4.0,232.78,8.85,0.16,-1.02
Bantargadung,2009.0,5.0,360.99,14.35,5.38,-0.1
Bantargadung,2009.0,6.0,175.24,6.4,2.72,0.28
Bantargadung,2009.0,7.0,42.36,2.3,0.74,0.31
Bantargadung,2009.0,8.0,31.14,1.16,0.03,-0.48
Bantargadung,2009.0,9.0,205.95,4.23,3.78,-0.41
Bantargadung,2009.0,10.0,344.9,15.39,5.99,0.07
Bantargadung,2009.0,11.0,523.82,18.87,8.98,0.23
Bantargadung,2009.0,12.0,309.75,15.1,1.63,-0.12
Bantargadung,2010.0,1.0,303.74,15.89,2.55,-0.24
Bantargadung,2010.0,2.0,395.26,16.68,6.06,0.2
Bantargadung,2010.0,3.0,425.1,20.4,5.86,1.75
Bantargadung,2010.0,4.0,137.18,4.93,0.18,0.45
Bantargadung,2010.0,5.0,504.42,21.85,11.18,1.27
Bantargadung,2010.0,6.0,221.44,9.84,3.47,0.77
Bantargadung,2010.0,7.0,287.84,13.26,5.48,1.71
Bantargadung,2010.0,8.0,304.31,12.3,6.14,1.65
Bantargadung,2010.0,9.0,631.86,21.74,14.25,1.99
Bantargadung,2010.0,10.0,455.18,19.89,6.89,1.67
Bantargadung,2010.0,11.0,346.45,17.7,4.63,1.02
Bantargadung,2010.0,12.0,341.45,17.56,2.1,-0.27
Bantargadung,2011.0,1.0,230.04,9.05,0.47,-1.46
Bantargadung,2011.0,2.0,174.73,5.77,1.6,-1.26
Bantargadung,2011.0,3.0,231.7,10.98,0.25,-2.02
Bantargadung,2011.0,4.0,281.79,11.63,2.2,-2.1
Bantargadung,2011.0,5.0,278.45,13.57,3.89,-0.57
Bantargadung,2011.0,6.0,103.34,3.88,2.28,-0.33
Bantargadung,2011.0,7.0,65.68,2.35,2.11,-0.25
Bantargadung,2011.0,8.0,30.73,1.0,0.0,-0.79
Bantargadung,2011.0,9.0,69.4,3.28,1.46,-1.01
Bantargadung,2011.0,10.0,220.12,9.32,2.97,-0.79
Bantargadung,2011.0,11.0,550.39,22.08,13.6,-0.39
Bantargadung,2011.0,12.0,370.07,15.97,4.49,-0.28
Bantargadung,2012.0,1.0,251.96,8.2,1.95,-0.06
Bantargadung,2012.0,2.0,244.66,11.92,0.43,-0.55
Bantargadung,2012.0,3.0,211.38,8.69,1.79,-1.37
Bantargadung,2012.0,4.0,443.23,16.66,10.18,-0.06
Bantargadung,2012.0,5.0,256.0,9.16,5.44,0.27
Bantargadung,2012.0,6.0,92.64,4.43,1.73,0.4
Bantargadung,2012.0,7.0,40.83,0.82,0.02,-0.53
Bantargadung,2012.0,8.0,48.82,1.97,0.0,-0.91
Bantargadung,2012.0,9.0,63.05,1.85,1.18,-1.1
Bantargadung,2012.0,10.0,289.05,12.65,6.96,-0.48
Bantargadung,2012.0,11.0,535.71,21.83,12.71,-0.25
Bantargadung,2012.0,12.0,546.02,26.14,10.18,0.67
Bantargadung,2013.0,1.0,417.7,16.59,6.35,1.47
Bantargadung,2013.0,2.0,210.19,8.03,1.99,0.99
Bantargadung,2013.0,3.0,277.23,12.27,2.25,0.23
Bantargadung,2013.0,4.0,278.74,11.91,3.05,-1.3
Bantargadung,2013.0,5.0,458.36,16.98,10.55,0.95
Bantargadung,2013.0,6.0,192.93,6.71,2.02,1.1
Bantargadung,2013.0,7.0,325.57,11.87,7.71,1.61
Bantargadung,2013.0,8.0,171.04,4.92,4.57,1.3
Bantargadung,2013.0,9.0,149.52,2.29,2.1,0.81
Bantargadung,2013.0,10.0,298.51,10.37,6.14,0.17
Bantargadung,2013.0,11.0,387.49,14.98,6.55,-0.4
Bantargadung,2013.0,12.0,672.26,22.27,11.54,0.62
Bantargadung,2014.0,1.0,466.97,17.95,10.74,1.59
Bantargadung,2014.0,2.0,368.69,13.52,8.75,2.39
Bantargadung,2014.0,3.0,420.0,18.1,5.67,2.57
Bantargadung,2014.0,4.0,339.7,19.21,1.48,1.82
Bantargadung,2014.0,5.0,252.48,12.34,2.33,0.93
Bantargadung,2014.0,6.0,188.14,8.91,2.17,0.34
Bantargadung,2014.0,7.0,325.19,8.82,7.54,0.97
Bantargadung,2014.0,8.0,100.22,2.67,2.27,1.06
Bantargadung,2014.0,9.0,75.21,1.0,1.0,0.4
Bantargadung,2014.0,10.0,103.41,3.05,0.02,-0.97
Bantargadung,2014.0,11.0,576.49,21.24,14.88,-0.64
Bantargadung,2014.0,12.0,425.96,18.72,8.82,-0.44
Bantargadung,2015.0,1.0,269.19,11.25,4.65,0.43
Bantargadung,2015.0,2.0,403.44,19.0,7.67,0.64
Bantargadung,2015.0,3.0,300.94,14.15,2.67,0.73
Bantargadung,2015.0,4.0,200.64,7.76,0.65,-0.01
Bantargadung,2015.0,5.0,171.94,8.31,4.06,-1.5
Bantargadung,2015.0,6.0,76.53,2.63,1.0,-1.79
Bantargadung,2015.0,7.0,25.9,0.82,0.79,-1.19
Bantargadung,2015.0,8.0,45.93,1.0,1.0,-1.18
Bantargadung,2015.0,9.0,41.78,0.26,0.06,-1.4
Bantargadung,2015.0,10.0,57.27,2.37,1.0,-1.72
Bantargadung,2015.0,11.0,392.56,16.8,6.69,-1.57
Bantargadung,2015.0,12.0,395.17,19.53,8.26,-1.71
Bantargadung,2016.0,1.0,245.49,9.22,0.2,-0.79
Bantargadung,2016.0,2.0,310.59,15.15,2.81,-0.09
Bantargadung,2016.0,3.0,402.68,20.76,5.46,0.62
Bantargadung,2016.0,4.0,453.45,24.33,7.39,2.11
Bantargadung,2016.0,5.0,360.9,16.01,6.47,2.15
Bantargadung,2016.0,6.0,348.8,14.13,6.11,2.14
Bantargadung,2016.0,7.0,392.07,12.95,8.99,1.94
Bantargadung,2016.0,8.0,187.12,5.48,3.52,1.94
Bantargadung,2016.0,9.0,718.2,19.77,15.06,2.12
Bantargadung,2016.0,10.0,503.3,22.96,9.8,1.69
Bantargadung,2016.0,11.0,996.02,28.96,23.65,2.37
Bantargadung,2016.0,12.0,211.45,8.11,0.8,1.89
Bantargadung,2017.0,1.0,256.33,11.14,0.89,1.32
Bantargadung,2017.0,2.0,284.64,11.69,3.0,-1.22
Bantargadung,2017.0,3.0,287.66,10.81,2.09,-0.36
Bantargadung,2017.0,4.0,347.46,16.94,2.64,0.12
Bantargadung,2017.0,5.0,335.91,12.41,8.44,0.67
Bantargadung,2017.0,6.0,280.03,10.97,7.27,1.26
Bantargadung,2017.0,7.0,131.88,5.84,1.86,0.91
Bantargadung,2017.0,8.0,52.75,1.87,1.38,0.53
Bantargadung,2017.0,9.0,222.39,5.9,5.79,0.1
Bantargadung,2017.0,10.0,506.07,19.69,11.23,0.56
Bantargadung,2017.0,11.0,689.71,22.11,14.56,0.99
Bantargadung,2017.0,12.0,295.91,14.57,3.42,1.13
Bantargadung,2018.0,1.0,236.96,9.48,0.16,0.2
Bantargadung,2018.0,2.0,282.94,13.48,4.81,-0.84
Bantargadung,2018.0,3.0,263.27,12.74,2.1,-0.73
Bantargadung,2018.0,4.0,314.9,16.23,3.05,-0.4
Bantargadung,2018.0,5.0,215.99,11.21,2.91,-0.55
Bantargadung,2018.0,6.0,96.98,4.48,1.63,-0.55
Bantargadung,2018.0,7.0,20.55,0.02,0.0,-0.83
Bantargadung,2018.0,8.0,32.3,0.71,0.45,-1.17
Bantargadung,2018.0,9.0,107.06,5.07,1.22,-1.05
Bantargadung,2018.0,10.0,207.43,10.0,0.62,-0.68
Bantargadung,2018.0,11.0,626.02,24.05,13.0,-0.11
Bantargadung,2018.0,12.0,306.82,12.05,4.32,-0.28
Bantargadung,2019.0,1.0,273.35,11.28,2.04,0.12
Bantargadung,2019.0,2.0,270.34,13.41,1.52,-0.64
Bantargadung,2019.0,3.0,310.19,13.1,3.11,-0.16
Bantargadung,2019.0,4.0,300.08,13.26,2.86,-0.23
Bantargadung,2019.0,5.0,185.19,6.81,1.64,-0.54
Bantargadung,2019.0,6.0,27.73,1.28,0.29,-1.31
Bantargadung,2019.0,7.0,36.78,1.9,0.03,-1.36
Bantargadung,2019.0,8.0,32.23,1.16,0.75,-1.69
Bantargadung,2019.0,9.0,51.55,2.29,0.81,-1.34
Bantargadung,2019.0,10.0,145.84,7.21,1.55,-1.2
Bantargadung,2019.0,11.0,274.7,12.95,4.19,-1.65
Bantargadung,2019.0,12.0,549.65,23.17,11.37,-1.07
Bantargadung,2020.0,1.0,254.64,8.99,3.49,-0.54
Bantargadung,2020.0,2.0,291.24,12.06,5.28,0.63
Bantargadung,2020.0,3.0,317.84,14.86,2.91,-0.08
Bantargadung,2020.0,4.0,318.47,16.32,2.13,0.19
Bantargadung,2020.0,5.0,416.07,16.81,6.99,1.18
Bantargadung,2020.0,6.0,129.4,5.67,0.42,0.77
Bantargadung,2020.0,7.0,113.91,4.22,2.26,0.61
Bantargadung,2020.0,8.0,140.1,4.17,3.14,0.2
Bantargadung,2020.0,9.0,324.25,7.69,6.14,0.62
Bantargadung,2020.0,10.0,384.69,14.79,8.49,0.7
Bantargadung,2020.0,11.0,483.15,17.67,9.05,0.5
Bantargadung,2020.0,12.0,414.96,17.21,5.51,0.32
Bantargadung,2021.0,1.0,255.75,10.14,2.0,-0.15
Bantargadung,2021.0,2.0,331.83,13.25,6.64,0.17
Bantargadung,2021.0,3.0,214.51,8.03,0.0,-0.57
Bantargadung,2021.0,4.0,253.26,12.13,3.6,-0.98
Bantargadung,2021.0,5.0,289.53,10.42,5.42,-0.83
Bantargadung,2021.0,6.0,231.8,8.46,1.94,0.31
Bantargadung,2021.0,7.0,122.44,3.69,2.77,0.55
Bantargadung,2021.0,8.0,149.32,5.59,3.17,0.68
Bantargadung,2021.0,9.0,470.03,14.87,11.33,1.04
Bantargadung,2021.0,10.0,521.25,17.9,10.56,1.26
Bantargadung,2021.0,11.0,718.56,26.21,17.24,1.54
Bantargadung,2021.0,12.0,343.21,13.29,4.23,1.46
Bantargadung,2022.0,1.0,213.74,9.05,0.02,0.46
Bantargadung,2022.0,2.0,218.46,8.42,1.5,-1.08
Bantargadung,2022.0,3.0,307.9,13.16,3.87,-1.09
Bantargadung,2022.0,4.0,313.0,12.55,3.14,-0.6
Bantargadung,2022.0,5.0,313.47,15.0,4.43,0.43
Bantargadung,2022.0,6.0,241.18,10.38,1.68,0.79
Bantargadung,2022.0,7.0,170.73,5.2,3.93,0.84
Bantargadung,2022.0,8.0,265.39,12.26,6.27,1.26
Bantargadung,2022.0,9.0,596.48,18.26,13.13,1.65
Bantargadung,2022.0,10.0,453.66,18.33,9.06,1.55
Bantargadung,2022.0,11.0,622.91,21.75,15.5,1.47
Bantargadung,2022.0,12.0,336.97,16.97,3.52,0.84
Bantargadung,2023.0,1.0,224.35,5.37,1.07,0.01
Bantargadung,2023.0,2.0,312.33,15.13,4.08,-0.51
Bantargadung,2023.0,3.0,321.03,15.31,4.06,-0.13
Bantargadung,2023.0,4.0,308.38,13.08,4.93,0.31
Bantargadung,2023.0,5.0,225.7,9.41,3.9,-0.11
Bantargadung,2023.0,6.0,158.53,5.92,3.72,-0.15
Bantargadung,2023.0,7.0,84.9,4.06,1.97,-0.15
Bantargadung,2023.0,8.0,66.7,1.66,0.01,-0.14
Bantargadung,2023.0,9.0,30.03,0.53,0.0,-0.91
Bantargadung,2023.0,10.0,155.54,8.27,2.95,-1.09
Bantargadung,2023.0,11.0,666.42,23.86,15.65,-0.35
Bantargadung,2023.0,12.0,181.95,6.77,0.84,-0.91
Bantargadung,2024.0,1.0,330.15,15.92,2.98,-0.02
Bantargadung,2024.0,2.0,259.05,11.24,1.62,-1.1
Bantargadung,2024.0,3.0,321.41,17.73,3.82,0.27
Bantargadung,2024.0,4.0,471.93,19.19,9.25,1.23
Bantargadung,2024.0,5.0,135.99,4.54,1.41,0.4
Bantargadung,2024.0,6.0,216.21,10.33,2.7,0.57
Bantargadung,2024.0,7.0,126.74,5.46,2.54,-0.11
Bantargadung,2024.0,8.0,73.35,1.54,1.0,0.34
Bantargadung,2024.0,9.0,287.48,9.17,6.44,0.36
Bantargadung,2024.0,10.0,173.87,8.41,0.05,-0.06
Bantargadung,2024.0,11.0,780.26,25.78,20.47,0.61
Bantargadung,2024.0,12.0,489.79,16.75,10.61,0.95
Bantargadung,2025.0,1.0,333.28,12.47,4.14,1.91
Bantargadung,2025.0,2.0,204.41,9.45,0.46,0.29
Bantargadung,2025.0,3.0,266.41,8.14,3.11,-0.55
Bantargadung,2025.0,4.0,371.57,19.47,3.15,-0.57
Bantargadung,2025.0,5.0,313.83,14.42,2.97,0.55
Bantargadung,2025.0,6.0,268.9,10.92,5.46,1.22
Bantargadung,2025.0,7.0,196.84,7.17,4.45,1.02
Bantargadung,2025.0,8.0,354.31,14.73,10.47,1.66
Bantargadung,2025.0,9.0,412.2,13.52,8.93,1.51
Bantargadung,2025.0,10.0,464.58,17.97,11.14,1.41
Bantargadung,2025.0,11.0,442.88,19.4,6.99,0.78
Bantargadung,2025.0,12.0,489.45,19.27,9.78,0.77
Baros,1996.0,1.0,360.6,17.0,6.66,
Baros,1996.0,2.0,290.3,13.88,1.39,
Baros,1996.0,3.0,225.62,9.06,3.66,-0.62
Baros,1996.0,4.0,474.15,16.0,12.34,-0.49
Baros,1996.0,5.0,126.97,4.91,2.11,-1.11
Baros,1996.0,6.0,86.45,3.88,1.0,-0.75
Baros,1996.0,7.0,57.12,2.87,1.0,-1.25
Baros,1996.0,8.0,211.88,7.89,4.93,-0.04
Baros,1996.0,9.0,201.53,4.79,3.78,0.17
Baros,1996.0,10.0,666.78,22.91,12.19,1.04
Baros,1996.0,11.0,323.29,11.95,5.91,0.47
Baros,1996.0,12.0,362.35,12.0,8.3,0.76
Baros,1997.0,1.0,248.18,11.18,1.94,-1.49
Baros,1997.0,2.0,615.33,18.88,15.14,1.07
Baros,1997.0,3.0,231.15,11.55,0.88,0.86
Baros,1997.0,4.0,436.42,16.88,8.18,1.68
Baros,1997.0,5.0,203.1,8.12,3.12,-0.81
Baros,1997.0,6.0,33.77,2.0,0.37,-0.83
Baros,1997.0,7.0,54.39,2.89,1.0,-1.12
Baros,1997.0,8.0,48.77,0.66,0.02,-1.36
Baros,1997.0,9.0,39.73,0.93,0.0,-1.26
Baros,1997.0,10.0,50.83,3.46,0.76,-1.76
Baros,1997.0,11.0,528.18,18.02,13.89,-1.06
Baros,1997.0,12.0,306.92,13.91,3.55,-1.36
Baros,1998.0,1.0,207.93,6.2,2.12,-0.83
Baros,1998.0,2.0,349.89,15.14,5.31,-0.89
Baros,1998.0,3.0,366.83,16.64,3.41,-0.27
Baros,1998.0,4.0,350.28,11.71,3.23,0.12
Baros,1998.0,5.0,439.1,15.06,10.65,0.97
Baros,1998.0,6.0,261.25,11.81,5.24,1.07
Baros,1998.0,7.0,211.68,7.25,3.14,1.3
Baros,1998.0,8.0,224.47,7.77,4.45,1.18
Baros,1998.0,9.0,137.47,5.32,2.0,0.46
Baros,1998.0,10.0,309.42,14.92,3.2,0.22
Baros,1998.0,11.0,453.64,20.33,9.12,-0.22
Baros,1998.0,12.0,378.64,17.2,3.99,-0.13
Baros,1999.0,1.0,408.13,17.43,8.38,0.27
Baros,1999.0,2.0,240.47,11.11,1.05,0.05
Baros,1999.0,3.0,410.7,22.89,3.22,0.64
Baros,1999.0,4.0,356.11,16.15,4.91,-0.35
Baros,1999.0,5.0,167.59,9.07,0.91,-0.38
Baros,1999.0,6.0,54.7,2.0,1.11,-1.42
Baros,1999.0,7.0,79.96,2.91,2.0,-1.05
Baros,1999.0,8.0,36.37,1.11,0.12,-1.09
Baros,1999.0,9.0,58.94,1.93,1.88,-1.05
Baros,1999.0,10.0,498.21,16.89,8.96,0.03
Baros,1999.0,11.0,359.75,17.02,6.02,-0.18
Baros,1999.0,12.0,338.26,14.12,5.09,0.11
Baros,2000.0,1.0,413.78,16.88,6.75,-0.43
Baros,2000.0,2.0,344.59,16.26,5.51,0.42
Baros,2000.0,3.0,264.71,11.68,1.96,0.4
Baros,2000.0,4.0,493.51,21.95,9.0,0.39
Baros,2000.0,5.0,357.66,15.21,5.94,0.74
Baros,2000.0,6.0,104.37,3.06,1.67,0.64
Baros,2000.0,7.0,80.5,3.17,1.38,0.09
Baros,2000.0,8.0,151.4,3.87,3.52,-0.12
Baros,2000.0,9.0,235.61,9.15,4.34,0.16
Baros,2000.0,10.0,352.62,14.94,5.24,0.37
Baros,2000.0,11.0,679.27,22.91,14.99,0.63
Baros,2000.0,12.0,243.01,14.56,2.6,0.45
Baros,2001.0,1.0,542.18,24.1,13.55,1.38
Baros,2001.0,2.0,338.32,13.29,5.71,0.56
Baros,2001.0,3.0,415.67,18.38,6.49,2.07
Baros,2001.0,4.0,496.79,20.22,10.01,1.46
Baros,2001.0,5.0,284.31,11.01,5.27,1.19
Baros,2001.0,6.0,178.61,7.02,3.43,0.66
Baros,2001.0,7.0,132.86,3.37,2.85,0.29
Baros,2001.0,8.0,65.31,1.96,1.22,0.06
Baros,2001.0,9.0,336.2,14.71,8.12,0.35
Baros,2001.0,10.0,552.55,20.56,11.62,0.81
Baros,2001.0,11.0,641.7,21.54,13.66,1.15
Baros,2001.0,12.0,205.05,8.71,1.32,0.94
Baros,2002.0,1.0,440.54,19.26,7.39,0.51
Baros,2002.0,2.0,236.07,9.0,4.69,-0.79
Baros,2002.0,3.0,345.76,18.05,3.18,0.4
Baros,2002.0,4.0,338.3,14.34,6.69,-1.07
Baros,2002.0,5.0,262.89,7.38,5.1,-0.3
