Kecamatan,year,CH_DJF,R10_DJF,R20_DJF,SPI3_DJF,CH_JJA,R10_JJA,R20_JJA,SPI3_JJA
Jampangkulon,2014.0,1451.46,50.14,28.63,1.18,694.91,17.05,12.0,0.68
Jampangkulon,2015.0,1096.99,48.23,20.77,0.38,158.44,5.1,0.97,-1.18
Jampangkulon,2016.0,978.42,45.02,10.6,-0.79,1184.97,37.09,24.74,2.29
Jampangkulon,2017.0,752.04,31.46,5.9,0.76,488.32,14.6,9.74,0.86
Jampangkulon,2018.0,808.73,36.32,9.01,0.12,182.3,6.46,3.11,-0.67
Jampangkulon,2019.0,776.22,35.65,7.9,-0.76,101.26,3.19,1.17,-1.57
Jampangkulon,2020.0,1127.91,46.6,24.64,-0.4,463.1,15.56,9.46,0.77
Jampangkulon,2021.0,1078.28,41.44,17.85,0.59,512.05,20.27,9.27,0.41
Jampangkulon,2022.0,807.83,34.9,7.06,0.29,703.23,27.48,13.96,0.87
Jampangkulon,2023.0,929.91,37.92,12.01,0.18,296.43,9.8,4.85,-0.37
Jampangkulon,2024.0,751.41,35.35,4.93,-1.17,507.19,19.31,9.82,0.45
Jampangkulon,2025.0,1090.16,38.87,15.87,1.27,776.56,28.64,15.95,1.03
Jampangkulon,2026.0,454.85,18.23,8.49,0.43,,,,
Kabandungan,1996.0,691.54,34.2,9.8,,483.67,18.9,9.03,-0.6
Kabandungan,1997.0,1414.7,44.11,27.09,0.41,140.58,4.81,2.12,-1.31
Kabandungan,1998.0,832.81,35.6,11.63,-1.51,746.73,32.09,12.26,1.07
Kabandungan,1999.0,1094.84,43.78,19.9,-0.14,211.95,7.89,4.41,-1.28
Kabandungan,2000.0,1224.52,48.13,18.45,-0.06,401.85,13.11,5.05,0.27
Kabandungan,2001.0,1161.95,47.71,22.81,0.52,415.56,18.13,6.65,0.27
Kabandungan,2002.0,878.88,37.57,14.39,-0.12,399.86,16.32,7.87,-0.18
Kabandungan,2003.0,879.58,41.88,8.31,-1.61,211.87,6.5,4.56,-1.99
Kabandungan,2004.0,1031.35,43.25,14.41,-0.3,329.7,13.38,4.39,-0.2
Kabandungan,2005.0,1328.99,59.59,27.4,0.21,709.57,23.27,13.31,0.55
Kabandungan,2006.0,1158.28,53.18,15.91,-0.4,221.13,11.15,4.72,-0.94
Kabandungan,2007.0,1103.13,48.54,18.95,-0.74,370.02,13.08,4.12,-0.04
Kabandungan,2008.0,1786.42,60.35,33.45,2.21,266.93,9.29,6.08,-0.76
Kabandungan,2009.0,1226.86,52.55,21.16,0.44,316.21,10.91,6.67,0.1
Kabandungan,2010.0,1185.5,54.08,15.11,0.15,1011.91,38.33,22.22,1.28
Kabandungan,2011.0,868.5,39.98,6.55,-0.89,285.47,12.21,6.71,-0.35
Kabandungan,2012.0,1008.53,44.75,7.89,-0.12,226.26,9.6,1.98,-0.31
Kabandungan,2013.0,1295.33,53.23,24.87,0.98,774.28,26.78,15.81,1.11
Kabandungan,2014.0,1703.76,61.95,38.84,1.51,678.57,23.24,14.43,0.63
Kabandungan,2015.0,1249.72,50.47,28.07,0.07,184.39,4.43,2.98,-1.44
Kabandungan,2016.0,1077.36,47.04,19.32,-1.04,1006.89,35.12,19.07,1.74
Kabandungan,2017.0,870.79,39.01,10.67,0.75,613.98,23.4,14.35,1.11
Kabandungan,2018.0,944.88,42.17,14.28,-0.03,209.11,7.82,2.87,-0.75
Kabandungan,2019.0,947.08,42.84,8.18,-0.37,130.04,4.24,1.34,-1.35
Kabandungan,2020.0,1219.92,48.89,25.4,-0.45,497.73,17.86,7.64,0.38
Kabandungan,2021.0,1123.01,49.2,20.98,-0.2,632.44,22.59,9.45,0.55
Kabandungan,2022.0,885.58,38.34,9.75,0.22,822.78,34.5,12.99,0.96
Kabandungan,2023.0,1017.23,43.13,14.43,0.23,430.49,15.18,8.53,-0.14
Kabandungan,2024.0,905.01,40.64,9.83,-0.67,473.76,17.92,8.39,0.2
Kabandungan,2025.0,1101.08,43.47,18.39,0.77,1036.67,38.9,21.78,1.43
Kabandungan,2026.0,508.59,20.61,11.8,0.46,,,,
Kadudampit,1996.0,742.4,35.91,9.67,,344.4,11.88,6.12,-0.67
Kadudampit,1997.0,1399.23,43.99,28.68,-0.0,138.61,4.82,2.14,-1.02
Kadudampit,1998.0,924.75,36.57,15.6,-0.93,672.28,26.29,13.03,1.19
Kadudampit,1999.0,1115.61,46.16,19.83,-0.08,162.31,6.27,2.06,-1.28
Kadudampit,2000.0,1222.28,47.95,24.68,0.01,336.61,11.75,6.98,0.29
Kadudampit,2001.0,1251.37,49.92,25.4,0.72,353.36,13.33,6.74,0.23
Kadudampit,2002.0,1013.42,40.09,17.7,0.18,313.5,12.67,5.34,-0.36
Kadudampit,2003.0,962.17,41.47,14.34,-1.63,182.36,5.61,3.6,-1.94
Kadudampit,2004.0,1034.5,47.05,14.81,-0.41,284.56,10.12,4.06,-0.15
Kadudampit,2005.0,1350.05,58.77,26.35,-0.01,589.77,16.77,9.54,0.33
Kadudampit,2006.0,1313.66,59.78,19.25,-0.01,179.26,6.91,1.75,-0.77
Kadudampit,2007.0,1095.75,44.79,21.24,-1.19,320.62,10.46,5.47,0.07
Kadudampit,2008.0,1810.83,62.04,34.12,2.11,218.41,6.61,4.07,-0.86
Kadudampit,2009.0,1254.47,55.8,24.41,0.34,279.2,10.2,4.18,0.13
Kadudampit,2010.0,1219.17,56.18,19.32,-0.09,879.0,29.33,16.38,1.24
Kadudampit,2011.0,897.15,40.21,8.17,-1.02,234.69,8.46,4.4,-0.31
Kadudampit,2012.0,1004.07,40.44,8.7,-0.27,219.79,7.92,2.3,-0.22
Kadudampit,2013.0,1335.61,55.77,25.45,0.85,679.23,24.15,12.77,1.38
Kadudampit,2014.0,1774.29,62.71,37.46,1.49,603.77,18.92,12.47,0.8
Kadudampit,2015.0,1352.77,50.58,25.7,0.1,157.78,5.2,2.45,-1.47
Kadudampit,2016.0,1117.89,49.49,20.03,-1.0,935.1,33.23,19.53,1.95
Kadudampit,2017.0,906.25,40.01,10.45,0.52,392.11,16.62,7.83,0.55
Kadudampit,2018.0,994.06,41.86,12.8,0.22,159.38,5.43,2.03,-0.81
Kadudampit,2019.0,1016.64,45.84,12.66,-0.28,104.12,4.35,0.35,-1.37
Kadudampit,2020.0,1302.62,52.65,25.96,-0.55,368.74,10.42,6.38,0.4
Kadudampit,2021.0,1183.76,47.26,19.18,-0.11,547.61,20.62,10.61,0.53
Kadudampit,2022.0,915.99,42.38,9.74,0.31,712.76,26.23,12.76,0.98
Kadudampit,2023.0,1082.76,43.36,13.86,0.48,279.91,10.72,3.91,-0.29
Kadudampit,2024.0,945.98,45.5,10.89,-0.8,425.52,15.74,8.89,0.05
Kadudampit,2025.0,1174.65,47.47,17.84,0.81,881.15,33.61,18.84,1.38
Kadudampit,2026.0,479.33,21.7,9.71,0.64,,,,
Kalapanunggal,1996.0,654.58,31.33,8.62,,457.33,18.78,8.77,-0.54
Kalapanunggal,1997.0,1325.6,42.31,26.45,0.38,136.71,4.26,2.13,-1.27
Kalapanunggal,1998.0,789.38,33.79,10.19,-1.44,684.81,29.14,11.08,1.07
Kalapanunggal,1999.0,1027.37,42.81,17.03,-0.21,189.04,6.44,4.14,-1.29
Kalapanunggal,2000.0,1171.64,46.63,17.96,-0.04,367.73,13.64,5.3,0.26
Kalapanunggal,2001.0,1117.72,46.18,20.92,0.58,373.3,15.76,6.55,0.22
Kalapanunggal,2002.0,852.43,37.33,14.33,-0.07,365.01,16.29,7.35,-0.23
Kalapanunggal,2003.0,839.25,37.69,7.75,-1.64,186.12,6.47,4.69,-1.99
Kalapanunggal,2004.0,969.67,39.98,12.2,-0.31,307.4,13.86,3.23,-0.22
Kalapanunggal,2005.0,1244.41,55.69,24.58,0.11,648.54,21.02,12.5,0.51
Kalapanunggal,2006.0,1121.42,52.17,13.61,-0.36,198.53,10.04,4.14,-0.94
Kalapanunggal,2007.0,1053.6,46.63,18.46,-0.79,341.41,12.25,3.85,-0.03
Kalapanunggal,2008.0,1701.09,57.72,31.27,2.21,235.33,8.56,5.72,-0.85
Kalapanunggal,2009.0,1160.64,49.08,19.62,0.43,293.49,10.9,6.68,0.12
Kalapanunggal,2010.0,1120.09,53.68,12.75,0.04,929.73,34.69,18.67,1.28
Kalapanunggal,2011.0,818.58,37.01,5.74,-0.97,261.39,10.39,5.16,-0.33
Kalapanunggal,2012.0,954.83,41.4,7.61,-0.15,209.92,8.97,1.5,-0.33
Kalapanunggal,2013.0,1241.7,52.37,22.11,0.99,721.84,24.48,14.67,1.16
Kalapanunggal,2014.0,1639.09,60.79,36.38,1.55,641.55,22.77,13.89,0.68
Kalapanunggal,2015.0,1210.65,48.62,23.97,0.11,177.02,4.03,3.0,-1.41
Kalapanunggal,2016.0,1025.02,46.85,17.01,-1.02,958.52,34.05,18.67,1.81
Kalapanunggal,2017.0,824.68,37.67,8.38,0.71,544.69,21.34,12.32,1.01
Kalapanunggal,2018.0,909.79,42.46,12.91,0.06,187.14,7.24,1.99,-0.76
Kalapanunggal,2019.0,915.6,41.04,7.21,-0.32,113.41,4.3,1.17,-1.36
Kalapanunggal,2020.0,1173.88,46.96,22.96,-0.39,453.96,16.11,7.41,0.4
Kalapanunggal,2021.0,1072.26,44.86,18.13,-0.16,584.05,19.95,9.96,0.55
Kalapanunggal,2022.0,840.34,35.21,8.32,0.19,760.89,31.19,11.23,0.97
Kalapanunggal,2023.0,970.08,40.14,13.41,0.23,386.33,14.0,7.05,-0.09
Kalapanunggal,2024.0,858.83,38.07,8.1,-0.71,441.88,16.65,7.73,0.14
Kalapanunggal,2025.0,1052.84,42.92,16.82,0.79,970.12,38.71,19.03,1.45
Kalapanunggal,2026.0,496.46,21.11,11.16,0.56,,,,
Kalibunder,1996.0,575.05,27.7,5.0,,332.82,12.31,6.12,-0.48
Kalibunder,1997.0,1169.38,46.26,22.36,0.16,160.52,6.16,3.08,-1.04
Kalibunder,1998.0,693.65,27.94,5.84,-2.17,684.09,24.8,12.74,0.92
Kalibunder,1999.0,1064.17,48.38,15.72,0.49,185.49,5.34,4.52,-0.94
Kalibunder,2000.0,1052.27,45.22,16.93,-0.04,241.7,8.72,3.55,-0.15
Kalibunder,2001.0,944.38,41.56,13.14,0.06,360.13,15.31,7.74,0.27
Kalibunder,2002.0,749.54,28.51,12.9,-0.1,296.3,6.89,4.43,-0.52
Kalibunder,2003.0,839.0,38.84,12.11,-0.95,149.77,4.47,2.02,-1.75
Kalibunder,2004.0,915.28,39.89,10.99,-0.26,316.05,13.0,4.51,-0.41
Kalibunder,2005.0,1194.76,49.64,22.12,0.34,615.62,21.04,12.67,0.47
Kalibunder,2006.0,1005.57,48.52,12.33,-0.31,181.07,6.53,3.23,-0.67
Kalibunder,2007.0,996.32,45.91,13.67,-1.05,296.7,10.03,7.08,0.03
Kalibunder,2008.0,1622.12,56.25,31.13,1.8,162.09,6.15,3.67,-1.31
Kalibunder,2009.0,1040.66,44.73,21.58,0.4,273.55,9.95,5.12,0.13
Kalibunder,2010.0,962.27,46.65,11.44,-0.08,932.17,37.57,21.0,1.59
Kalibunder,2011.0,831.96,38.34,7.69,-0.4,204.22,7.03,3.0,-0.51
Kalibunder,2012.0,917.17,36.82,8.07,0.01,194.8,7.17,2.67,-0.42
Kalibunder,2013.0,1184.58,46.83,19.88,0.94,724.45,26.24,14.1,1.39
Kalibunder,2014.0,1463.75,49.77,28.5,1.17,713.57,18.46,12.29,0.73
Kalibunder,2015.0,1112.29,47.76,22.49,0.47,160.26,6.26,1.42,-1.16
Kalibunder,2016.0,961.11,43.43,10.25,-0.83,1172.74,36.42,24.73,2.24
Kalibunder,2017.0,725.27,30.65,5.29,0.66,486.12,14.84,9.15,0.81
Kalibunder,2018.0,790.76,34.98,7.51,0.14,177.08,7.14,2.89,-0.71
Kalibunder,2019.0,749.06,33.68,6.9,-0.83,100.18,2.73,1.28,-1.59
Kalibunder,2020.0,1098.32,45.78,22.03,-0.52,457.64,15.34,8.04,0.81
Kalibunder,2021.0,1061.75,41.21,17.29,0.55,512.43,18.68,9.13,0.43
Kalibunder,2022.0,794.18,33.83,6.0,0.33,698.16,26.93,12.23,0.85
Kalibunder,2023.0,904.24,34.57,11.23,0.14,283.19,8.5,5.13,-0.43
Kalibunder,2024.0,719.31,35.3,4.25,-1.28,483.86,17.89,9.26,0.32
Kalibunder,2025.0,1030.27,38.47,15.5,1.04,773.73,29.78,16.62,1.03
Kalibunder,2026.0,428.09,16.93,8.86,0.37,,,,
Kebonpedes,1996.0,674.35,31.42,8.84,,357.0,14.17,6.83,-0.71
Kebonpedes,1997.0,1231.88,42.42,25.39,0.1,133.99,5.41,1.32,-1.1
Kebonpedes,1998.0,862.02,35.05,11.17,-1.06,692.85,27.03,13.26,1.19
Kebonpedes,1999.0,1029.69,44.81,14.6,0.02,168.61,6.0,3.25,-1.2
Kebonpedes,2000.0,1103.67,46.71,17.94,0.02,337.19,9.96,7.18,0.21
Kebonpedes,2001.0,1137.47,53.36,22.65,0.79,375.55,13.56,7.69,0.31
Kebonpedes,2002.0,893.86,36.72,14.01,0.2,307.52,10.66,6.14,-0.42
Kebonpedes,2003.0,852.54,36.0,8.13,-1.61,184.57,5.71,2.32,-1.8
Kebonpedes,2004.0,917.64,41.87,11.55,-0.5,293.34,12.21,5.01,-0.15
Kebonpedes,2005.0,1183.04,51.41,21.63,-0.06,582.6,16.8,9.74,0.32
Kebonpedes,2006.0,1172.55,56.34,11.5,0.05,183.56,7.75,3.93,-0.75
Kebonpedes,2007.0,964.89,41.23,16.95,-1.26,309.75,11.34,5.33,0.06
Kebonpedes,2008.0,1545.14,55.83,29.61,1.86,203.49,6.86,3.9,-1.03
Kebonpedes,2009.0,1093.48,45.28,17.8,0.3,268.09,9.52,5.43,0.07
Kebonpedes,2010.0,1071.02,48.84,11.17,-0.15,908.04,28.1,18.78,1.25
Kebonpedes,2011.0,792.95,33.86,4.7,-1.0,228.59,8.78,4.17,-0.33
Kebonpedes,2012.0,900.31,37.17,7.63,-0.26,221.85,7.28,2.59,-0.23
Kebonpedes,2013.0,1224.58,55.46,22.63,1.01,726.36,23.96,14.56,1.49
Kebonpedes,2014.0,1547.83,58.55,35.59,1.33,652.59,19.53,11.16,0.9
Kebonpedes,2015.0,1199.45,49.8,20.81,0.2,150.4,6.22,1.93,-1.44
Kebonpedes,2016.0,993.04,45.05,12.65,-1.02,995.12,36.16,20.55,1.96
Kebonpedes,2017.0,813.77,33.03,9.68,0.47,406.6,12.75,7.86,0.55
Kebonpedes,2018.0,898.78,41.06,10.49,0.29,165.66,6.59,2.15,-0.8
Kebonpedes,2019.0,886.42,40.24,6.64,-0.46,99.47,2.83,0.43,-1.43
Kebonpedes,2020.0,1164.02,45.91,21.46,-0.46,390.21,10.37,5.88,0.51
Kebonpedes,2021.0,1040.13,39.14,16.48,-0.08,547.37,19.26,12.24,0.49
Kebonpedes,2022.0,822.8,38.49,5.74,0.43,690.91,24.57,12.71,0.94
Kebonpedes,2023.0,965.13,38.68,10.0,0.54,291.19,10.0,5.04,-0.3
Kebonpedes,2024.0,845.46,39.95,6.23,-0.83,440.36,15.19,9.52,0.06
Kebonpedes,2025.0,1064.04,43.11,13.3,0.85,874.89,31.89,20.96,1.35
Kebonpedes,2026.0,419.5,17.53,8.53,0.77,,,,
Lembursitu,1996.0,626.8,30.42,6.91,,344.76,14.75,6.86,-0.62
Lembursitu,1997.0,1168.46,41.99,22.63,0.06,143.08,5.75,2.28,-1.05
Lembursitu,1998.0,817.62,32.61,10.76,-1.15,676.96,25.09,13.85,1.12
Lembursitu,1999.0,996.62,45.56,9.73,0.0,176.5,6.53,3.8,-1.11
Lembursitu,2000.0,1092.3,46.07,15.87,0.07,313.14,10.44,6.06,0.15
Lembursitu,2001.0,1085.68,49.96,19.41,0.68,354.77,12.75,5.49,0.31
Lembursitu,2002.0,849.46,34.63,12.91,0.12,309.63,8.6,5.85,-0.35
Lembursitu,2003.0,842.41,35.91,8.93,-1.56,175.39,5.0,2.35,-1.82
Lembursitu,2004.0,892.33,41.19,7.37,-0.51,287.09,13.23,4.77,-0.25
Lembursitu,2005.0,1186.55,53.24,21.0,0.04,543.21,19.28,10.97,0.25
Lembursitu,2006.0,1124.71,56.54,11.63,-0.04,178.07,7.83,3.52,-0.73
Lembursitu,2007.0,948.46,40.79,13.95,-1.23,305.11,10.6,4.6,0.05
Lembursitu,2008.0,1513.93,56.07,27.07,1.83,194.84,6.79,4.44,-1.07
Lembursitu,2009.0,1040.9,42.19,15.92,0.21,258.46,10.13,5.24,0.04
Lembursitu,2010.0,1046.45,48.68,10.34,-0.1,895.77,30.06,18.9,1.26
Lembursitu,2011.0,760.46,34.25,4.79,-1.06,219.17,8.19,3.34,-0.39
Lembursitu,2012.0,869.24,36.64,7.87,-0.35,203.3,6.86,1.85,-0.28
Lembursitu,2013.0,1185.28,52.33,20.6,1.0,711.59,22.94,14.75,1.45
Lembursitu,2014.0,1493.96,56.25,31.88,1.31,640.57,20.27,11.7,0.88
Lembursitu,2015.0,1173.26,52.07,22.61,0.27,149.57,5.95,1.71,-1.42
Lembursitu,2016.0,986.99,45.01,13.9,-0.93,993.84,34.49,19.63,2.03
Lembursitu,2017.0,785.83,33.73,7.29,0.59,429.43,15.32,8.4,0.68
Lembursitu,2018.0,849.68,38.16,7.74,0.26,160.15,6.89,2.29,-0.83
Lembursitu,2019.0,866.8,39.4,5.97,-0.43,95.97,3.43,0.64,-1.49
Lembursitu,2020.0,1146.38,46.52,20.67,-0.42,395.78,10.66,4.67,0.58
Lembursitu,2021.0,1017.61,39.48,14.98,-0.04,538.5,19.5,10.53,0.52
Lembursitu,2022.0,803.24,36.51,5.07,0.4,699.56,26.79,12.15,0.94
Lembursitu,2023.0,926.89,37.21,8.77,0.46,281.77,10.1,3.72,-0.33
Lembursitu,2024.0,830.71,41.61,5.51,-0.7,445.62,15.02,8.88,0.18
Lembursitu,2025.0,1040.83,39.81,13.08,0.94,854.02,33.43,19.64,1.28
Lembursitu,2026.0,422.57,20.24,8.6,0.81,,,,
Lengkong,1996.0,597.56,29.51,4.45,,339.24,11.7,6.22,-0.58
Lengkong,1997.0,1225.24,40.31,24.06,0.27,138.8,5.67,3.37,-1.17
Lengkong,1998.0,760.58,31.91,9.75,-1.92,656.27,27.55,13.63,0.9
Lengkong,1999.0,1005.68,42.41,12.65,0.22,181.86,5.0,3.01,-0.94
Lengkong,2000.0,1048.13,42.81,15.53,-0.15,269.05,11.62,3.41,-0.03
Lengkong,2001.0,1018.11,44.85,15.51,0.34,351.85,14.04,6.99,0.26
Lengkong,2002.0,745.12,28.81,11.2,-0.14,318.6,11.61,6.87,-0.37
Lengkong,2003.0,831.53,38.02,8.56,-1.14,158.13,5.95,2.28,-1.76
Lengkong,2004.0,890.57,39.71,9.12,-0.39,287.62,12.64,3.28,-0.41
Lengkong,2005.0,1227.57,52.25,22.53,0.29,582.34,21.95,9.63,0.44
Lengkong,2006.0,1044.65,53.57,11.76,-0.2,180.74,7.73,2.61,-0.75
Lengkong,2007.0,969.76,43.29,14.67,-1.03,294.63,12.49,4.67,0.05
Lengkong,2008.0,1644.2,54.67,32.53,2.07,175.8,7.92,3.73,-1.23
Lengkong,2009.0,1043.56,43.07,20.18,0.37,265.11,10.3,4.01,0.05
Lengkong,2010.0,1017.6,48.4,11.8,0.05,906.22,37.2,17.09,1.49
Lengkong,2011.0,807.66,37.08,5.75,-0.59,204.28,9.2,2.95,-0.49
Lengkong,2012.0,923.45,38.32,8.25,-0.02,186.78,7.68,2.34,-0.4
Lengkong,2013.0,1180.44,49.14,20.03,0.96,706.62,24.09,13.11,1.32
Lengkong,2014.0,1451.99,51.91,28.57,1.2,653.79,18.22,11.77,0.76
Lengkong,2015.0,1068.6,49.75,18.44,0.18,152.16,4.29,1.71,-1.31
Lengkong,2016.0,951.39,43.4,12.11,-0.93,1057.83,34.95,21.82,2.15
Lengkong,2017.0,724.52,27.41,5.47,0.71,479.64,16.24,10.08,0.9
Lengkong,2018.0,796.83,36.13,7.81,0.15,169.77,6.5,3.08,-0.76
Lengkong,2019.0,815.05,39.81,7.33,-0.57,102.11,3.85,1.74,-1.53
Lengkong,2020.0,1094.63,45.49,23.53,-0.46,419.39,13.63,6.28,0.63
Lengkong,2021.0,1001.53,37.82,15.15,0.18,528.96,18.58,8.49,0.5
Lengkong,2022.0,779.53,30.29,6.33,0.25,725.23,28.98,13.57,0.97
Lengkong,2023.0,876.41,35.38,9.27,-0.02,293.04,9.84,5.33,-0.3
Lengkong,2024.0,754.15,32.29,5.32,-0.94,479.13,18.36,8.61,0.42
Lengkong,2025.0,1020.08,41.07,14.36,1.07,802.38,30.25,18.87,1.15
Lengkong,2026.0,453.47,18.68,8.58,0.52,,,,
Nagrak,1996.0,630.1,29.83,6.38,,299.42,10.93,5.36,-0.61
Nagrak,1997.0,1188.56,41.55,25.23,0.09,125.42,3.78,1.89,-1.05
Nagrak,1998.0,768.03,29.12,8.78,-1.0,555.33,22.66,8.73,1.13
Nagrak,1999.0,925.07,38.5,12.94,-0.27,151.76,5.54,1.81,-1.22
Nagrak,2000.0,1027.6,39.28,16.66,-0.19,280.97,11.08,4.97,0.24
Nagrak,2001.0,1047.06,44.63,17.66,0.62,301.04,12.04,6.23,0.22
Nagrak,2002.0,829.17,33.17,14.49,-0.0,273.72,11.22,3.37,-0.35
Nagrak,2003.0,798.94,33.22,9.46,-1.71,150.96,5.21,2.7,-1.98
Nagrak,2004.0,875.97,37.98,9.72,-0.4,240.32,9.68,2.71,-0.2
Nagrak,2005.0,1144.26,50.53,19.19,0.01,510.37,15.85,8.58,0.38
Nagrak,2006.0,1091.25,49.65,11.11,-0.16,155.45,6.05,0.82,-0.82
Nagrak,2007.0,939.77,39.39,14.48,-1.1,274.57,8.59,4.17,0.03
Nagrak,2008.0,1535.56,54.7,26.79,2.12,179.27,6.43,4.04,-0.88
Nagrak,2009.0,1041.13,45.61,15.45,0.25,241.76,8.74,3.39,0.1
Nagrak,2010.0,1020.59,45.9,12.58,-0.15,730.99,26.5,11.59,1.16
Nagrak,2011.0,756.36,35.63,4.19,-1.08,196.26,7.83,3.67,-0.39
Nagrak,2012.0,848.79,30.88,5.89,-0.33,179.66,6.82,1.16,-0.27
Nagrak,2013.0,1157.32,47.74,18.17,0.92,578.65,20.8,8.96,1.3
Nagrak,2014.0,1527.02,56.53,30.96,1.57,523.13,20.08,9.69,0.8
Nagrak,2015.0,1154.6,47.49,22.12,0.17,141.21,5.17,2.31,-1.45
Nagrak,2016.0,958.21,42.54,14.46,-0.92,815.61,30.52,16.32,1.99
Nagrak,2017.0,772.43,31.8,6.66,0.6,365.08,15.49,6.93,0.68
Nagrak,2018.0,850.94,35.43,9.14,0.23,141.61,5.54,2.16,-0.8
Nagrak,2019.0,881.84,39.47,8.62,-0.17,87.1,4.62,0.09,-1.38
Nagrak,2020.0,1127.62,44.15,19.35,-0.37,334.53,10.6,5.43,0.41
Nagrak,2021.0,1014.37,41.8,14.72,-0.06,475.01,18.32,6.95,0.55
Nagrak,2022.0,786.02,31.87,6.98,0.28,627.47,23.56,10.76,1.01
Nagrak,2023.0,925.59,36.24,11.25,0.42,271.25,10.86,3.94,-0.14
Nagrak,2024.0,820.71,34.18,6.25,-0.61,369.08,14.33,7.07,0.11
Nagrak,2025.0,1022.12,41.18,14.81,0.99,775.39,31.17,15.47,1.39
Nagrak,2026.0,435.59,19.11,7.37,0.73,,,,
Nyalindung,1996.0,625.79,30.54,6.32,,337.96,14.22,6.72,-0.64
Nyalindung,1997.0,1176.76,42.42,23.68,0.06,142.08,5.15,2.34,-1.08
Nyalindung,1998.0,826.33,33.04,10.24,-1.2,682.83,25.28,13.52,1.11
Nyalindung,1999.0,1017.6,46.53,10.84,0.13,178.5,6.16,4.05,-1.08
Nyalindung,2000.0,1109.06,46.1,16.77,0.14,313.49,10.7,5.62,0.15
Nyalindung,2001.0,1086.57,48.55,20.07,0.69,361.94,12.94,5.75,0.35
Nyalindung,2002.0,850.18,34.3,12.54,0.15,310.34,8.65,6.09,-0.38
Nyalindung,2003.0,855.7,37.47,10.32,-1.48,171.0,4.85,2.25,-1.81
Nyalindung,2004.0,905.75,42.85,8.22,-0.45,288.21,13.09,4.91,-0.25
Nyalindung,2005.0,1208.85,53.14,20.92,0.12,547.7,18.63,10.41,0.28
Nyalindung,2006.0,1134.28,57.55,12.41,0.0,177.67,7.15,3.27,-0.74
Nyalindung,2007.0,956.24,41.64,15.12,-1.22,303.14,10.7,4.62,0.04
Nyalindung,2008.0,1543.91,56.49,29.26,1.93,190.79,6.88,4.33,-1.12
Nyalindung,2009.0,1049.46,41.89,16.7,0.25,258.3,9.81,5.11,0.05
Nyalindung,2010.0,1054.77,50.06,10.79,-0.07,897.7,30.73,19.48,1.29
Nyalindung,2011.0,771.58,35.6,4.85,-0.99,218.57,8.21,3.23,-0.41
Nyalindung,2012.0,884.39,36.75,7.61,-0.3,201.98,6.29,2.15,-0.3
Nyalindung,2013.0,1185.85,52.18,20.09,0.99,720.05,22.75,14.87,1.45
Nyalindung,2014.0,1474.62,55.45,32.3,1.2,650.08,20.26,11.84,0.88
Nyalindung,2015.0,1168.85,51.73,22.0,0.26,150.75,5.72,1.91,-1.42
Nyalindung,2016.0,982.83,44.76,14.13,-0.97,1002.54,35.33,19.4,1.99
Nyalindung,2017.0,775.44,33.85,7.13,0.53,443.24,15.1,8.98,0.69
Nyalindung,2018.0,838.67,37.67,7.43,0.18,166.95,7.13,2.58,-0.8
Nyalindung,2019.0,856.1,40.25,5.42,-0.55,97.55,3.37,1.03,-1.51
Nyalindung,2020.0,1143.99,47.26,20.85,-0.45,398.68,10.94,5.0,0.59
Nyalindung,2021.0,1016.97,39.28,15.76,-0.08,545.31,19.79,10.42,0.52
Nyalindung,2022.0,801.31,35.93,5.1,0.36,709.3,27.66,12.5,0.95
Nyalindung,2023.0,919.71,35.84,9.09,0.37,286.6,9.35,4.24,-0.33
Nyalindung,2024.0,824.18,40.71,5.99,-0.79,457.72,15.32,8.6,0.21
Nyalindung,2025.0,1033.28,40.02,12.45,0.91,851.9,33.1,20.41,1.26
Nyalindung,2026.0,427.75,20.2,8.44,0.77,,,,
Pabuaran,1996.0,588.21,28.14,4.63,,312.84,10.5,5.9,-0.57
Pabuaran,1997.0,1144.95,42.97,22.4,-0.0,143.39,5.62,2.96,-1.08
Pabuaran,1998.0,730.77,29.93,6.49,-2.07,674.08,26.14,13.73,0.92
Pabuaran,1999.0,1050.53,48.14,12.77,0.35,185.82,5.33,4.9,-0.91
Pabuaran,2000.0,1048.34,45.05,15.71,-0.08,248.61,9.85,3.74,-0.09
Pabuaran,2001.0,974.14,42.18,13.59,0.13,350.99,15.64,7.01,0.31
Pabuaran,2002.0,757.84,30.21,12.04,-0.18,285.71,7.13,4.32,-0.55
Pabuaran,2003.0,841.36,39.05,11.4,-1.08,152.68,4.3,2.34,-1.75
Pabuaran,2004.0,903.18,40.45,10.91,-0.37,292.69,11.56,4.77,-0.41
Pabuaran,2005.0,1190.11,50.1,21.59,0.16,570.01,20.74,11.17,0.33
Pabuaran,2006.0,1024.96,52.91,11.71,-0.34,177.09,6.32,2.74,-0.7
Pabuaran,2007.0,971.58,44.46,13.98,-1.17,289.84,10.04,6.18,0.05
Pabuaran,2008.0,1597.75,55.39,30.95,1.75,163.44,6.51,3.37,-1.3
Pabuaran,2009.0,1028.89,45.59,19.68,0.28,260.95,9.47,4.17,0.11
Pabuaran,2010.0,988.91,46.55,12.96,-0.11,897.54,35.81,18.66,1.5
Pabuaran,2011.0,819.55,38.14,6.89,-0.59,197.57,6.88,3.49,-0.51
